화면,Depth2,사용자액션,트리거,API_Endpoint,HTTP_Method,요청데이터,응답데이터,성공처리,실패처리,복구경로,로딩상태,우선순위,접근성
로그인,로그인 폼,로그인 버튼 클릭,onClick,/api/auth/login,POST,"{email, password}","{accessToken, refreshToken, user}",홈으로 이동 + 토큰 저장,에러 Toast + 구체적 원인 표시,재시도 버튼 활성화 + 비밀번호 찾기 링크,버튼 Spinner,P0,Enter키 지원
로그인,로그인 폼,엔터키 입력,onKeyDown (Enter),/api/auth/login,POST,"{email, password}","{accessToken, refreshToken, user}",홈으로 이동,에러 Toast,재시도 버튼,버튼 Spinner,P0,포커스 유지
회원가입,정보 입력,이메일 중복 확인,onBlur,/api/auth/check-email,GET,"{email}","{available: boolean}",✅ 아이콘 표시,❌ 중복 경고 + 대안 제안,-,인라인 Spinner,P1,에러 메시지 스크린리더
회원가입,정보 입력,가입 완료 버튼,onClick,/api/auth/signup,POST,"{email, password, nickname}","{user}",완료 페이지 + 첫 충전 CTA,구체적 에러 메시지,문제 필드 하이라이트,버튼 Spinner,P1,
어카운트,잔액 카드,잔액 조회,onMount,/api/account/balance,GET,-,"{available, locked, total}",잔액 표시 (0원 시 충전 CTA),재시도 버튼,5초 후 자동 재시도,Skeleton Card,P0,금액 스크린리더
어카운트,잔액 카드,락 상세 보기,onClick,/api/account/locks,GET,-,"[{groupId, groupName, amount, lockedAt}]",BottomSheet + 모임별 상세,에러 Toast,닫기 후 재시도 가능,Skeleton List,P0,
어카운트,충전,충전 금액 선택,onClick,-,-,-,-,결제 수단 모달 표시,-,-,-,P0,금액 프리셋 키보드 접근
어카운트,충전,충전 요청,onClick,/api/account/charge,POST,"{amount, paymentMethod, returnUrl}","{transactionId, newBalance}",성공 Toast + 이전 화면 복귀,결제 실패 원인 + 재시도/다른 수단,재시도 버튼 + 토스페이 고객센터,전체 화면 로딩,P0,
어카운트,충전,충전 후 복귀,자동,/api/account/balance,GET,-,"{available}",returnUrl로 자동 이동 (가입 모달),복귀 실패 시 홈으로,수동 이동 링크 제공,-,P0,⭐ 이탈 방지
어카운트,거래내역,내역 조회,onMount,/api/account/transactions,GET,"{page, limit}","[{type, amount, description, createdAt}]",리스트 렌더링,빈 상태 + 첫 충전 CTA,-,Skeleton List,P1,
홈,온보딩,유저 상태 확인,onMount,/api/users/me,GET,-,"{hasGroups, balance, isNewUser}",상태별 UI 분기,-,-,Skeleton,P0,
