Depth1_대분류,Depth2_중분류,Depth3_화면기능,Type,Route,설명,우선순위,담당,Demo필수,EmptyState_CTA,에러복구,플랫폼,터치타겟,비고
공통,헤더,로고,Component,/,홈으로 이동,P0,FE,Y,-,-,Both,44px,
공통,헤더,어카운트 잔액,Component,-,가용잔액 표시 + Animated Counter,P0,FE,Y,-,-,Both,44px,로그인 시만 표시
공통,헤더,프로필 메뉴,Component,-,마이페이지/설정/로그아웃,P1,FE,N,-,-,Both,44px,
공통,네비게이션,바텀 네비 (Mobile),Component,-,홈/탐색/생성/내모임/MY,P0,FE,Y,-,-,Mobile,56px,5개 탭 - 활성 탭 강조
공통,네비게이션,사이드바 (Desktop),Component,-,좌측 고정 메뉴,P1,FE,N,-,-,Desktop,-,
공통,푸터,서비스 정보,Component,-,이용약관/개인정보처리방침,P2,FE,N,-,-,Both,-,Demo 제외
인증,로그인,로그인 폼,Page,/login,ID/PW 입력,P0,Both,Y,-,재시도 버튼 + 비밀번호 찾기 링크,Both,48px (버튼),JWT 발급
인증,로그인,소셜 로그인,Component,/login,Google/Kakao,P2,Both,N,-,-,Both,48px,Demo 제외
인증,로그인,생체 인증,Component,/login,Face ID/지문 (재로그인),P2,FE,N,-,-,Mobile,-,Demo 제외
인증,회원가입,약관 동의,Page,/signup/terms,필수/선택 약관,P1,FE,N,-,-,Both,-,테스트 계정 사용
인증,회원가입,정보 입력,Page,/signup/info,이메일/비밀번호/닉네임,P1,Both,N,-,실시간 유효성 표시 + 구체적 에러 메시지,Both,48px,
인증,회원가입,가입 완료,Page,/signup/complete,환영 + 충전 유도,P1,FE,N,-,-,Both,-,첫 충전 CTA 강조
어카운트,대시보드,잔액 카드,Section,/mypage,가용/락 잔액 분리 표시,P0,Both,Y,첫 충전 유도 배너 (잔액 0원 시),-,Both,-,핵심 기능
어카운트,대시보드,락 상세,BottomSheet,/mypage,모임별 보증금 현황,P0,Both,Y,가입한 모임 없음 → 모임 찾기 CTA,-,Both,-,
어카운트,대시보드,거래 내역,Page,/mypage/history,충전/차감/락 히스토리,P1,Both,N,거래 없음 → 첫 충전 CTA,-,Both,-,
어카운트,충전,충전 금액 선택,Modal,/charge,프리셋 + 직접 입력,P0,FE,Y,-,-,Both,48px,최소 1만/최대 100만
